,cluster_id,galaxy_id
117,1374,NGC_628C
118,1376,NGC_628C
119,1377,NGC_628C
120,1393,NGC_628C
121,1395,NGC_628C
122,1397,NGC_628C
123,1400,NGC_628C
124,1406,NGC_628C
125,1434,NGC_628C
126,1475,NGC_628C
127,1479,NGC_628C
128,1485,NGC_628C
129,1496,NGC_628C
130,1503,NGC_628C
131,1509,NGC_628C
132,1514,NGC_628C
133,1523,NGC_628C
134,1528,NGC_628C
135,1531,NGC_628C
136,1537,NGC_628C
137,1551,NGC_628C
138,1565,NGC_628C
139,1566,NGC_628C
140,1569,NGC_628C
141,1572,NGC_628C
142,1580,NGC_628C
143,1588,NGC_628C
144,1589,NGC_628C
145,1593,NGC_628C
146,1605,NGC_628C
147,1608,NGC_628C
148,1610,NGC_628C
149,1616,NGC_628C
150,1619,NGC_628C
151,1622,NGC_628C
152,1655,NGC_628C
153,1669,NGC_628C
154,1670,NGC_628C
155,1671,NGC_628C
156,1672,NGC_628C
157,1674,NGC_628C
158,1684,NGC_628C
159,1690,NGC_628C
160,1693,NGC_628C
161,1697,NGC_628C
162,1705,NGC_628C
163,1713,NGC_628C
164,1714,NGC_628C
165,1716,NGC_628C
166,1718,NGC_628C
167,1743,NGC_628C
168,1749,NGC_628C
169,1751,NGC_628C
170,1761,NGC_628C
171,1763,NGC_628C
172,1766,NGC_628C
173,1771,NGC_628C
174,1775,NGC_628C
175,1776,NGC_628C
176,1779,NGC_628C
177,1781,NGC_628C
178,1790,NGC_628C
179,1803,NGC_628C
180,1812,NGC_628C
181,1843,NGC_628C
182,1851,NGC_628C
183,1858,NGC_628C
184,1860,NGC_628C
185,1861,NGC_628C
186,1868,NGC_628C
187,1878,NGC_628C
188,1888,NGC_628C
189,1894,NGC_628C
190,1899,NGC_628C
191,1915,NGC_628C
192,1924,NGC_628C
193,1932,NGC_628C
194,1940,NGC_628C
195,1952,NGC_628C
196,1963,NGC_628C
197,1965,NGC_628C
198,1980,NGC_628C
